date,signal,instrument,pnl_pts,entry_num,direction,year
2025-02-20,DAX_S2,DAX,-6.1,2,SHORT,2025
2025-02-20,DAX_S2,DAX,6.5,3,SHORT,2025
2025-02-21,DAX_S2,DAX,-8.0,1,LONG,2025
2025-02-21,DAX_S2,DAX,-0.7,2,SHORT,2025
2025-02-21,DAX_S2,DAX,0.5,3,SHORT,2025
2025-02-24,DAX_S2,DAX,4.0,1,SHORT,2025
2025-02-24,DAX_S2,DAX,5.0,2,SHORT,2025
2025-02-24,DAX_S2,DAX,230.0,3,SHORT,2025
2025-02-25,DAX_S2,DAX,29.6,1,LONG,2025
2025-02-25,DAX_S2,DAX,-3.5,2,LONG,2025
2025-02-25,DAX_S2,DAX,-4.0,3,LONG,2025
2025-02-26,DAX_S2,DAX,-7.0,1,LONG,2025
2025-02-26,DAX_S2,DAX,108.5,2,SHORT,2025
2025-02-26,DAX_S2,DAX,97.0,3,SHORT,2025
2025-02-27,DAX_S2,DAX,37.0,1,SHORT,2025
2025-02-27,DAX_S2,DAX,193.0,2,SHORT,2025
2025-02-27,DAX_S2,DAX,93.5,3,SHORT,2025
2025-02-28,DAX_S2,DAX,-19.5,1,SHORT,2025
2025-02-28,DAX_S2,DAX,7.5,2,LONG,2025
2025-02-28,DAX_S2,DAX,29.0,3,LONG,2025
2025-03-03,DAX_S2,DAX,-12.0,1,LONG,2025
2025-03-03,DAX_S2,DAX,-31.0,2,SHORT,2025
2025-03-03,DAX_S2,DAX,139.5,3,LONG,2025
2025-03-04,DAX_S2,DAX,-16.0,1,SHORT,2025
2025-03-04,DAX_S2,DAX,3.0,2,LONG,2025
2025-03-04,DAX_S2,DAX,-33.5,3,SHORT,2025
2025-03-05,DAX_S2,DAX,0.0,1,SHORT,2025
2025-03-05,DAX_S2,DAX,-11.5,2,LONG,2025
2025-03-05,DAX_S2,DAX,17.6,3,SHORT,2025
2025-03-06,DAX_S2,DAX,96.5,1,LONG,2025
2025-03-06,DAX_S2,DAX,146.5,2,LONG,2025
2025-03-06,DAX_S2,DAX,86.5,3,LONG,2025
2025-03-07,DAX_S2,DAX,-67.0,1,LONG,2025
2025-03-07,DAX_S2,DAX,49.0,2,LONG,2025
2025-03-07,DAX_S2,DAX,25.3,3,SHORT,2025
2025-03-10,DAX_S2,DAX,28.0,1,LONG,2025
2025-03-10,DAX_S2,DAX,-25.5,2,LONG,2025
2025-03-10,DAX_S2,DAX,27.0,3,SHORT,2025
2025-03-11,DAX_S2,DAX,151.4,1,SHORT,2025
2025-03-11,DAX_S2,DAX,188.5,2,SHORT,2025
2025-03-11,DAX_S2,DAX,326.0,3,SHORT,2025
2025-03-12,DAX_S2,DAX,-8.0,1,LONG,2025
2025-03-12,DAX_S2,DAX,-20.0,2,SHORT,2025
2025-03-12,DAX_S2,DAX,-7.9,3,SHORT,2025
2025-03-13,DAX_S2,DAX,-34.0,1,LONG,2025
2025-03-13,DAX_S2,DAX,263.6,2,SHORT,2025
